除外理由,No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),電話種別,FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,商談日,商談結果,通話メモ,備考
民間(営利法人)ではない: NPO,1539,練馬区,○,○,NPO,1,1,独立系,2011605001215,特定非営利活動法人　柏の友,,,柏の友居宅介護支援事業所,1372004679,東京都練馬区貫井３－５－６ドンズビル３０２,03-3926-8261,03-3926-8261,固定(23区),03-3926-8262,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1540,練馬区,○,○,NPO,1,1,独立系,2011605000225,特定非営利活動法人むすび,,,ＮＰＯむすび,1372006682,東京都練馬区光が丘3-9-3外階段２階,03-6904-3275,03-6904-3275,固定(23区),03-6904-3276,http://musubi-tasukeai.jimdo.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1541,練馬区,○,○,NPO,1,1,独立系,6011605002300,特定非営利活動法人三義,,,あかねいろケアプラン成作所,1372013241,東京都練馬区豊玉北3-13-2継成ビル202号室,03-6914-9243,03-6914-9243,固定(23区),03-6914-9273,なし,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1545,練馬区,○,○,社会福祉法人,1,1,独立系,6011605000469,社会福祉法人キングス・ガーデン東京,,,居宅介護支援練馬キングス・ガーデン,1372000214,東京都練馬区早宮2-10-22,03-5399-5317,03-5399-5317,固定(23区),03-5399-5220,http://www.kg-tokyo.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1547,練馬区,○,○,社会福祉法人,1,1,独立系,7010005001036,社会福祉法人東京福祉会,,,練馬高松園居宅介護支援事業所,1372001584,東京都練馬区高松２丁目９番３号,03-3926-8030,03-3926-8030,固定(23区),03-3926-7872,http://www.tfk.or.jp/,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1565,練馬区,○,○,NPO,1,1,独立系,5011605000222,ＮＰＯ法人アクト練馬たすけあいワーカーズエプロン,,,ケアプラン　エプロン,1372009280,東京都練馬区石神井町8-53-24,03-6915-9306,03-6915-9306,固定(23区),03-6915-9307,https://npo-epuron.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,1571,荒川区,○,○,一般社団・財団,1,1,独立系,4011505001899,一般社団法人空と花,,,一般社団法人　空と花ケアマネステーション　日本財団在宅看護センター,1371804525,東京都荒川区町屋4-4-10野本ビル101,03-6806-6907,03-6806-6907,固定(23区),03-6806-6917,http://skyhana.jimdofree.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,1572,荒川区,○,○,一般社団・財団,1,1,医療機関併設,1011505000458,一般社団法人荒川区医師会,,,荒川区医師会ケアプランセンター,1371800226,東京都荒川区西日暮里６－５－３,03-3893-5533,03-3893-5533,固定(23区),03-3810-4768・,http://www.ark.tokyo.med.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1573,荒川区,○,○,医療法人,1,1,医療機関併設,9011505000582,医療法人社団杏精会岡田病院,,,医療法人社団杏精会岡田病院居宅介護支援事業所,1371804780,東京都荒川区荒川5-3-1,03-5615-3637,03-5615-3637,固定(23区),03-5615-3620,https://okada.or.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1575,荒川区,○,○,医療法人,1,1,医療機関併設,8011505000591,医療法人社団関川会,,,医療法人社団関川会関川病院居宅介護支援事業所,1371800689,東京都荒川区西日暮里1丁目4番1号,03-3803-5154,03-3803-5154,固定(23区),03-3806-6808,http://www.sekikawa.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1576,荒川区,○,○,医療法人,1,1,医療機関併設,1011505000557,医療法人財団源会,,,磯医院居宅介護支援センター,1371802404,東京都荒川区南千住５丁目９番１号,03-6426-2121,03-6426-2121,固定(23区),03-5615-2761,http://iso-hp.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1577,荒川区,○,○,医療法人,1,1,独立系,5011505000974,医療法人財団竹栄会,,,医療法人財団　　竹栄会　けんちの苑すみだ川指定居宅介護支援事業所,1371802727,東京都荒川区南千住3-8-11-1階1階,03-3891-7591,03-3891-7591,固定(23区),03-3891-7593,http://www.chikueikai.or.jp,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1599,荒川区,○,○,NPO,1,1,独立系,7011505001087,特定非営利活動法人　すこやか,,,特定非営利活動法人　荒川すこやかネットワーク,1371801810,東京都荒川区東日暮里2-21-1サンウッドヤマシタ101,03-3807-6045,03-3807-6045,固定(23区),03-3807-6049,http://www.sukoyaka.server-shared.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1600,荒川区,○,○,NPO,1,1,独立系,4011505001032,特定非営利活動法人寿さん家,,,ＮＰＯ法人　寿さん家,1371801604,東京都荒川区南千住5-1-6,03-5604-0613,03-5604-0613,固定(23区),03-3806-8651,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1601,荒川区,○,○,医療法人,1,1,訪問看護併設,8011505000559,社会医療法人社団一成会,,,社会医療法人社団一成会　訪問看護ステーションみどり,1371800036,東京都荒川区町屋４－１－１６,03-3892-0106,03-3892-0106,固定(23区),03-3892-0187,http://www.kimura-hp.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1605,荒川区,○,,社会福祉法人,1,8,独立系,5050005000531,社会福祉法人北養会,,,指定居宅介護支援事業所さくら館,1371801539,東京都荒川区町屋７－１０－６,03-3894-3566,03-3894-3566,固定(23区),03-3894-3562,http://www.hokusuikai.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,1622,葛飾区,○,○,一般社団・財団,1,1,医療機関併設,3011805002177,一般社団法人　葛飾区医師会,,,葛飾区医師会指定居宅介護支援事業所,1372200079,東京都葛飾区立石６－８－１４パークアベニュー１階,03-5670-8100,03-5670-8100,固定(23区),03-5670-8101,http://www.katsushika-med.or.jp/home.html,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1626,葛飾区,○,○,医療法人,1,1,独立系,1011805001593,医療法人社団　直和会,,,立石介護支援センター　ペンギン,1372207488,東京都葛飾区立石5-9-26ケアガーデンＩＳＨＩＤＡ１階,03-6657-7883,03-6657-7883,固定(23区),03-6657-7892,http://www.heisei-tateishi.net/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1627,葛飾区,○,○,医療法人,1,1,医療機関併設,5011805002407,医療法人社団　靖元会,,,新小岩わたなべクリニック居宅介護支援事業所,1372206837,東京都葛飾区新小岩4-12-52階,03-5678-6271,03-5678-6271,固定(23区),03-5678-6272,http://www.seigen-kai.com//,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1628,葛飾区,○,,医療法人,1,15,独立系,8030005010463,医療法人社団協友会,,,指定居宅介護支援事業所　リハビリケアかつしか,1372205763,東京都葛飾区西新小岩３－３７－８,03－3694－8320,03-3694-8320,固定(23区),03－3694－8332,https://rc-katsushika.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1629,葛飾区,○,○,医療法人,1,1,医療機関併設,6011805000756,医療法人社団厚生会,,,医療法人社団　厚生会　栗原医院,1372201275,東京都葛飾区新小岩3-8-1モンシェール103,03-5661-1649,03-5661-1649,固定(23区),03-6424-5951,,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1632,葛飾区,○,○,医療法人,1,1,独立系,5011805000831,医療法人社団玲瓏会,,,金町中央居宅介護支援事業所,1372208262,東京都葛飾区金町1-9-1,03-3607-2217,03-3607-2217,固定(23区),03-6311-7448,http://www.reiroukai.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1634,葛飾区,○,○,医療法人,1,1,独立系,6011805002117,医療法人社団ＭＸＰＧ,,,医療法人社団MXPG　SILVERSUPPORTGARDENSもみの木,1372206092,東京都葛飾区細田4-18-7ジュネス細田101号室,03-5612-6333,03-5612-6333,固定(23区),03-5612-6332,https://www.mxpg.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1635,葛飾区,○,○,医療法人,1,1,医療機関併設,5011805000773,医療法人財団慈光会,,,医療法人財団慈光会堀切中央病院,1372200582,東京都葛飾区堀切７丁目４番４号,03-5629-2235,03-5629-2235,固定(23区),03-5629-2220,http://www.horikiri-ch.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 不明(法人格の記載なし),1636,葛飾区,○,○,不明(法人格の記載なし),1,1,独立系,5011805000914,厚生福祉会,,,東四つ木介護サポートセンター,1372202315,東京都葛飾区東四つ木４－４４－２－１０１,03-5670-3533,03-5670-3533,固定(23区),03-5670-3720,http://www.higashiyotsugi.net/index.html,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 協同組合,1672,葛飾区,○,○,協同組合,1,1,独立系,6011805001242,東京葛飾医療生活協同組合,,,居宅介護支援事業所「ほりきり」,1372200327,東京都葛飾区白鳥2-3-6,03-3690-2080,03-3690-2080,固定(23区),03-3690-7225,https://www.katsuseikyo.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1738,葛飾区,○,○,NPO,1,1,独立系,2030005016350,特定非営利活動法人百花,,,結衣居宅,1372208403,東京都葛飾区水元2-9-15ハイツ田中Ⅱ105,03-5876-3520,03-5876-3520,固定(23区),03-5876-3521,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1741,葛飾区,○,○,社会福祉法人,1,1,独立系,8011805002346,社会福祉法人アストリー,,,アンブル宝町ケアサポートセンター,1372207009,東京都葛飾区宝町1-2-9,03-5654-8883,03-5654-8883,固定(23区),03-5654-8881,http://astory.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1746,葛飾区,○,○,社会福祉法人,1,1,独立系,2010605000631,社会福祉法人東京愛育苑,,,東京愛育苑居宅介護支援センター,1372203552,東京都葛飾区水元3-13-2,03-5660-3437,03-5660-3437,固定(23区),03-5660-3492,http://www.aiikuen-gr.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1747,葛飾区,○,○,社会福祉法人,1,1,独立系,2010105000297,社会福祉法人武蔵野会,,,居宅介護支援事業所　あやめ,1372201655,東京都葛飾区西水元二丁目２－８,03-3826-2956,03-3826-2956,固定(23区),03-3826-2957,http://care-net.biz/13/ayama/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1748,葛飾区,○,○,社会福祉法人,1,1,独立系,9011805000919,社会福祉法人清遊の家,,,すずうら指定居宅介護支援事業所,1372202299,東京都葛飾区西新小岩　3-37-27,03-5670-3696,03-5670-3696,固定(23区),03-5670-3772,http://www.seiyunoie.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1761,豊島区,○,○,医療法人,1,1,独立系,5013305000295,医療法人社団仁泉会,,,としま居宅介護支援事業所,1371600683,東京都豊島区南長崎5-26-2,03-5982-8381,03-5982-8381,固定(23区),03-6908-3076,http://toshimashowa.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1762,豊島区,○,○,医療法人,1,1,医療機関併設,5013305001351,医療法人社団育生會,,,山口医院居宅介護支援事業所,1371605179,東京都豊島区西巣鴨　１－１９－１７,０３－５９０７－３８６３,03-5907-3863,固定(23区),０３－６９０３－７８１２,http://www.yamaguchi-hp.com,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1804,豊島区,○,○,NPO,1,1,独立系,2013305000942,特定非営利活動法人やすらぎ,,,やすら木,1371601970,東京都豊島区雑司が谷２－２２－１８１Ｆ,03-5952-7500,03-5952-7500,固定(23区),03-5952-7502,https://yasuragi.lolipop.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1805,豊島区,○,○,NPO,1,1,独立系,8013305001290,特定非営利活動法人ケアプランゆたか,,,特定非営利活動法人ケアプランゆたか,1371603364,東京都豊島区目白4-31-3,03-6682-4689,03-6682-4689,固定(23区),03-6682-4742,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1807,豊島区,○,○,社会福祉法人,1,1,独立系,2013305000744,社会福祉法人地球郷,,,ゆきわりそう介護保険相談室,1371602259,東京都豊島区南長崎６丁目１９番地５号ゆきわりそう1F,03-3950-3852,03-3950-3852,固定(23区),03-3950-3841,http://www.yukiwari.org,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1810,豊島区,○,,社会福祉法人,1,2,独立系,2140005006588,社会福祉法人桑の実園福祉会,,,東池袋桑の実園　居宅介護支援事業所,1371606011,東京都豊島区東池袋５丁目３９番１８号特別養護老人ホーム東池袋桑の実園,03-5928-3002,03-5928-3002,固定(23区),03-5928-3004,https://www.kuwanomien.jp/,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1822,足立区,○,,社会福祉法人,1,9,独立系,7230005007201,シャカイフクシホウジン　イミズマンヨウカイ,,,万葉居宅介護支援事業所,1372112282,東京都足立区六月2丁目11番20号,03-5856-4377,03-5856-4377,固定(23区),03-5856-4378,http://www.adachimanyouen.jp,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,1830,足立区,○,○,一般社団・財団,1,1,独立系,6011805000021,一般財団法人博慈会,,,博慈会居宅介護支援事業所,1372101285,東京都足立区鹿浜５丁目１３番７号,03-3856-7511,03-3856-7511,固定(23区),03-5839-3568,http://www.hakujikai.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1834,足立区,○,○,医療法人,1,1,独立系,4011805000584,医療法人社団あすは会,,,東伊興指定居宅介護支援事業所,1372100519,東京都足立区東伊興三丁目20番7号,03-5837-5540,03-5837-5540,固定(23区),03-5837-5541,http://www7b.biglobe.ne.jp/~asuha/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1837,足立区,○,○,医療法人,1,1,独立系,9011105000818,医療法人社団六扇会,,,医療法人社団六扇会居宅介護支援ステーション,1372110518,東京都足立区扇１－３０－１３,０３－５８３８－０８８０,03-5838-0880,固定(23区),０３－５８３８－０８８３,https://rokusenkai.jp/,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1838,足立区,○,○,医療法人,1,1,医療機関併設,8011805000622,医療法人社団宏心会,,,六ツ木診療所居宅介護支援事業所,1372100279,東京都足立区佐野2-32-11,03-5613-8666,03-5613-8666,固定(23区),03-5613-8667,http://mutsugi.webmedipr.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1839,足立区,○,○,医療法人,1,1,独立系,2011805000693,医療法人社団容生会,,,医療法人社団　容生会　ケアマネジメントオアシス,1372100162,東京都足立区保木間1丁目37番20号ほきまクリニック5階,03-5242-7661,03-5242-7661,固定(23区),03-5242-7662,https://www.yosei.or.jp/nursing-care/oasis,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1840,足立区,○,○,医療法人,1,1,医療機関併設,1011805000661,医療法人社団成仁,,,医療法人社団　成仁医院,1372100451,東京都足立区中川4-2-14,050-3734-5294,050-3734-5294,IP電話,03-3605-9092,http://www.seijin.org/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1841,足立区,○,○,医療法人,1,1,独立系,9011805001297,医療法人社団東京朝日会,,,医療法人社団東京朝日会　居宅介護支援事業所あさひ,1372107159,東京都足立区平野　１－２－３あさひ病院,03-5242-5837,03-5242-5837,固定(23区),03-5242-5826,http://www.tokyo-asahi.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1842,足立区,○,○,医療法人,1,1,訪問看護併設,5011805001904,医療法人社団東京東双泉会,,,かのん訪問看護ステーション居宅介護支援事業所,1372109379,東京都足立区綾瀬5-14-16金子ビル302,03-5613-1199,03-5613-1199,固定(23区),03-3628-1771,https://sosenkai-east.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1843,足立区,○,○,医療法人,1,1,独立系,9011805000654,医療法人社団眞仁会,,,医療法人社団眞仁会　青井在宅介護支援事業所,1372103380,東京都足立区青井4-29-23,03-5888-8665,03-5888-8665,固定(23区),03-5888-8664,https://v0-aoikyotaku-shinjinkai-lp.vercel.app/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1846,足立区,○,,医療法人,1,2,独立系,1011805000579,医療法人社団苑田会,,,そのだ居宅介護支援事業所,1372110351,東京都足立区保木間四丁目１５番１６号,０３－３８８５－０４０５,03-3885-0405,固定(23区),０３－５８３１－０４２２,,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1848,足立区,○,○,医療法人,1,1,独立系,1013305000299,医療法人財団厚生協会,,,指定居宅介護支援事業者保木間,1372100113,東京都足立区保木間5-23-20,03-3859-8701,03-3859-8701,固定(23区),03-3859-8711,http://homepage1.nifty.com/TAG/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1881,足立区,○,,社会福祉法人,1,2,独立系,8080005004907,杉の子,,,居宅介護支援センター　中央本町,1372102283,東京都足立区中央本町4－14－20,03-3880-0008,03-3880-0008,固定(23区),03-3886-1600,http://s-suginoko.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1968,足立区,○,○,医療法人,1,1,独立系,1011805000645,特定医療法人社団潤恵会,,,特定医療法人社団潤恵会　ひのき居宅介護支援センター,1372102895,東京都足立区新田２－１６－１３,03-5902-3323,03-5902-3323,固定(23区),03-5902-3124,http://www.keijin-hospital.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1969,足立区,○,○,NPO,1,1,独立系,8011805001629,特定非営利活動法人かなえ,,,宅ろう所ひらの,1372105195,東京都足立区平野1-23-4寺山ハイツ101,03-5831-6881,03-5831-6881,固定(23区),03-5831-6882,http://www.takurousho-hirano.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1970,足立区,○,○,NPO,1,1,独立系,5030005012735,特定非営利活動法人ケアたつ,,,二ツ橋ケアプランサービス,1372114627,東京都足立区舎人4-1-17グリーンパーク二ツ橋101,03-5647-8914,03-5647-8914,固定(23区),03-5647-8915,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1971,足立区,○,○,NPO,1,1,独立系,7011805001646,特定非営利活動法人ケアサポーター・もやい,,,もやい綾瀬,1372111177,東京都足立区綾瀬３丁目17-25藤和綾瀬コープ106号,03-5697-8322,03-5697-8322,固定(23区),03-5697-8320,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,1972,足立区,○,○,NPO,1,1,独立系,5011805001838,特定非営利活動法人ライフサポートいぶき,,,ＮＰＯ法人ライフサポートいぶき　居宅介護支援事業所,1372106789,東京都足立区六月３－１－５清和マンション,03-5831-0103,03-5831-0103,固定(23区),03-5831-0048,http://www.ibuki-kaigo.or.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 協同組合,1973,足立区,○,○,協同組合,1,1,独立系,5013305000626,生活協同組合・東京高齢協,,,東京高齢協のぞみ,1372100154,東京都足立区谷中４－１３－１１南勢堂ビル１階,03-5856-0886,03-5856-0886,固定(23区),03-5888-6997,,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1974,足立区,○,○,医療法人,1,1,独立系,7011805000648,社会医療法人社団　昭愛会,,,水野指定居宅介護支援事業所,1372100469,東京都足立区西新井6－２４－１６水野第２リハビリテーションクリニック　３階,03-3898-8866,03-3898-8866,固定(23区),03-3898-8868,http://www.mizuno.or.jp/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1975,足立区,○,○,医療法人,1,1,独立系,5011805000583,社会医療法人社団医善会,,,社会医療法人社団医善会　いずみ居宅介護支援,1372105294,東京都足立区本木1-3-7いずみ記念病院内,03-5888-2124,03-5888-2124,固定(23区),03-5888-2135,http://www.izumikinen.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,1976,足立区,○,○,医療法人,1,1,独立系,5011805000641,社会医療法人社団慈生会,,,居宅介護支援事業所　等潤,1372100063,東京都足立区一ツ家4-2-15,03-3850-0361,03-3850-0361,固定(23区),03-3850-0313,https://www.jiseikai-phcc.jp.care,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1977,足立区,○,,社会福祉法人,1,2,施設併設,3011805000874,社会福祉法人　友興会,,,居宅介護支援事業所　友興の園,1372101012,東京都足立区西新井本町4－13－16,03-3890-0430,03-3890-0430,固定(23区),03-3890-0453,https://yukokai.or.jp/gracehome/,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1983,足立区,○,○,社会福祉法人,1,1,施設併設,9030005012483,社会福祉法人孝慈会,,,居宅介護支援事業所　古千谷苑,1372114932,東京都足立区古千谷本町1-3-19,03-3856-7257,03-3856-7257,固定(23区),03-3897-7237,https://kojikai.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1984,足立区,○,○,社会福祉法人,1,1,独立系,8011805000894,社会福祉法人愛寿会,,,あいじゅケアプランセンター,1372100915,東京都足立区西綾瀬３－２－１,03-5681-7680,03-5681-7680,固定(23区),03-6678-1903,http://www.aijukai.com/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1985,足立区,○,,社会福祉法人,1,6,独立系,6480005002376,社会福祉法人愛心会,,,居宅介護支援事業所ロイヤル足立,1372114643,東京都足立区舎人3丁目１－１９,03-6807-1435,03-6807-1435,固定(23区),03-6807-1436,,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1986,足立区,○,,社会福祉法人,1,2,独立系,9240005011381,社会福祉法人新生福祉会,,,新田楽生苑居宅介護支援事業所,1372113884,東京都足立区新田1-21-20,03-6903-0309,03-6903-0309,固定(23区),03-6903-0310,https://rakusei.or.jp/,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1989,足立区,○,,社会福祉法人,1,3,独立系,4011805001574,社会福祉法人白寿会,,,プレミア扇居宅介護支援事業所,1372105336,東京都足立区扇1-3-5,03-3890-3405,03-3890-3405,固定(23区),03-3890-3393,http://100.or.jp,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1992,足立区,○,○,社会福祉法人,1,1,独立系,2011805001444,社会福祉法人西新井だいわ会,,,居宅介護支援事業所ふれあい西新井,1372103406,東京都足立区西新井２－５－５,03-5838-1386,03-5838-1386,固定(23区),03-5838-1387,http://www.nishiaraidaiwakai.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1993,足立区,○,○,社会福祉法人,1,1,独立系,3011805000899,社会福祉法人足立邦栄会,,,デイサービスセンターさくら居宅介護支援事業所,1372101889,東京都足立区皿沼二丁目８番８号,03-5691-7055,03-5691-7055,固定(23区),03-5691-8147,https://www.houeikai.gr.jp,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,1994,足立区,○,○,社会福祉法人,1,1,独立系,1013105001308,社会福祉法人道心会,,,あだちまちの相談室,1372114197,東京都足立区古千谷本町1-7-20OMレジデンス古千谷本町,050-3613-5892,050-3613-5892,IP電話,03-4333-9916,https://adachi.tokuyou.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,2002,あきる野市,○,○,一般社団・財団,1,1,独立系,8013105001697,一般社団法人こーゆうネットワーク,,,こーゆうケアネット,1375200829,東京都あきる野市雨間325番地岡野ビル202号,042-518-7736,042-518-7736,固定(多摩等),042-518-7737,https://koyunetwork.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,2003,あきる野市,○,○,医療法人,1,1,医療機関併設,1013105000813,医療法人社団　豊信会,,,草花クリニック訪問看護ステーション,1375200340,東京都あきる野市草花27221階,042-532-3233,042-532-3233,固定(多摩等),042-532-3787,http://www.kusabanaclinic.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,2004,あきる野市,○,○,医療法人,1,1,訪問看護併設,5013105000280,医療法人社団秀仁会,,,医療法人社団　秀仁会　訪問看護ステーションさくら,1374900247,東京都あきる野市瀬戸岡433-1,042-511-2896,042-511-2896,固定(多摩等),042-532-7128,http://居宅介護支援さくら.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,2005,あきる野市,○,○,医療法人,1,1,医療機関併設,1013105000350,医療法人財団暁,,,あきる台病院指定居宅介護支援事業所,1375200654,東京都あきる野市秋川5丁目1番地8あきる台在宅医療福祉センター　2階,042-550-7026,042-550-7026,固定(多摩等),042-550-6107,,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社協,2011,あきる野市,○,○,社協,1,1,社協・包括,3013105000051,社会福祉法人　あきる野市社会福祉協議会,,,あきる野市社協ケアセンター,1374900205,東京都あきる野市平沢175-4秋川ふれあいセンター内,042-595-9036,042-595-9036,固定(多摩等),042-559-3561,http://www.akiruno-shakyo.or.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,2012,あきる野市,○,○,社会福祉法人,1,1,独立系,3013105000019,社会福祉法人　松楓会,,,松楓会あきる野指定居宅介護支援事業所,1374900395,東京都あきる野市菅生1159,042-558-7012,042-558-7012,固定(多摩等),042-558-6581,http://www.pinemaple.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,2013,あきる野市,○,○,社会福祉法人,1,1,独立系,4013105000050,社会福祉法人　渓流会,,,草花ケアサポート,1374900478,東京都あきる野市草花１９８０番地,042-559-8131,042-559-8131,固定(多摩等),042-559-8173,http://www.keiryu.or.jp/,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,2019,三鷹市,○,○,医療法人,1,1,独立系,2012405001719,医療法人社団佳仁会,,,ケアプランみずほ,1373600731,東京都三鷹市新川４－２５－１８,0422-46-8811,0422-46-8811,固定(多摩等),0422-46-0055,http://www.keijin-kai.or.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,2020,三鷹市,○,○,医療法人,1,1,独立系,5010105000187,医療法人社団充会,,,居宅介護支援事業所　太郎,1373600558,東京都三鷹市下連雀4-2-8,0422-76-6077,0422-76-6077,固定(多摩等),0422-76-6088,,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,2021,三鷹市,○,,医療法人,1,2,独立系,3010805001503,医療法人社団向生會,,,ぴあメディカルケアプラン,1373603255,東京都三鷹市下連雀3-43-21藤和三鷹ホームズ203,0422-29-8830,0422-29-8830,固定(多摩等),0422-29-8228,https://www.peerhomonclinic.or.jp/,平日,,,,,,,,,,,,,,
